A,1282
R,2
Ё,26
А,7406
Б,2779
В,2156
Г,2542
Д,2750
Е,905
Ж,3664
З,3007
И,2634
Й,28
К,3005
Л,2640
М,2491
Н,2133
О,3232
П,3403
Р,2395
С,2175
Т,2484
У,2262
Ф,2073
Х,2893
Ц,2004
Ч,2632
Ш,2950
Щ,1960
Э,3647
Ю,1547
Я,3634
